event,taxaGroup,rep,cpmE,CmnCpm,CRmlcd,CrMNmlcd
LSZ2,CenDiaLg,1,5.406343951,71.56281139,64.03693636,53.32400637
LSZ2,CenDiaLg,2,11.42231947,71.56281139,45.49286341,53.32400637
LSZ2,CenDiaLg,3,9.355191257,71.56281139,50.44221933,53.32400637
LSZ2,CenDiaSm,1,26.87711687,162.9610123,44.68042756,46.63092473
LSZ2,CenDiaSm,2,18.38074398,162.9610123,54.10055821,46.63092473
LSZ2,CenDiaSm,3,31.03825137,162.9610123,41.11178842,46.63092473
LSZ2,CilLg,1,1.129790311,9.601272596,53.05078513,46.3833006
LSZ2,CilLg,2,1.006564551,9.601272596,55.91394872,46.3833006
LSZ2,CilLg,3,2.841530055,9.601272596,30.18516795,46.3833006
LSZ2,CilSm,1,2.854207101,11.42147988,34.37864632,31.89641176
LSZ2,CilSm,2,2.188183807,11.42147988,40.96634237,31.89641176
LSZ2,CilSm,3,5.027322404,11.42147988,20.34424657,31.89641176
LSZ2,FlagSm,1,164.2898906,250.4675134,10.45456482,13.1544142
LSZ2,FlagSm,2,158.7683651,250.4675134,11.3020971,13.1544142
LSZ2,FlagSm,3,122.6229508,250.4675134,17.70658067,13.1544142
LSZ2,Other,1,67.0833809,59.92880893,-2.795979295,2.853293549
LSZ2,Other,2,53.96061269,59.92880893,2.600719071,2.853293549
LSZ2,Other,3,42.09836066,59.92880893,8.755140871,2.853293549
SJR1,CenDiaLg,1,7.024404083,60.41985918,53.34986832,48.91541204
SJR1,CenDiaLg,2,10.02187968,60.41985918,44.53939869,48.91541204
SJR1,CenDiaLg,3,8.420056764,60.41985918,48.85696912,48.91541204
SJR1,CenDiaSm,1,13.114719,73.46342259,42.71734183,26.77777935
SJR1,CenDiaSm,2,38.10257354,73.46342259,16.27587305,26.77777935
SJR1,CenDiaSm,3,31.06275623,73.46342259,21.34012318,26.77777935
SJR1,CilLg,1,1.138839374,6.97228137,44.92083482,44.49461179
SJR1,CilLg,2,0.594825022,6.97228137,61.022964,44.49461179
SJR1,CilLg,3,2.29580574,6.97228137,27.54003655,44.49461179
SJR1,CilSm,1,2.676473265,21.3330509,51.46148985,43.24566714
SJR1,CilSm,2,4.384928049,21.3330509,39.22250755,43.24566714
SJR1,CilSm,3,4.415011038,21.3330509,39.05300403,43.24566714
SJR1,FlagSm,1,5.888241182,33.96967237,43.44766347,10.945702
