event,taxaGroup,CrMNmlcd
LSZ2,CenDiaLg,53.32400637
LSZ2,CenDiaSm,46.63092473
LSZ2,CilLg,46.3833006
LSZ2,CilSm,31.89641176
LSZ2,FlagSm,13.1544142
LSZ2,Other,2.853293549
SJR1,CenDiaLg,48.91541204
SJR1,CenDiaSm,26.77777935
SJR1,CilLg,44.49461179
SJR1,CilSm,43.24566714
SJR1,FlagSm,10.945702
SJR1,Other,-6.121008073
SJR2,CenDiaLg,38.62832735
SJR2,CenDiaSm,18.22316468
SJR2,CilLg,35.29957388
SJR2,CilSm,30.39468211
SJR2,FlagSm,15.08870237
SJR2,Other,11.89986148
WLD2,CenDiaLg,36.82450909
WLD2,CenDiaSm,-6.850447664
WLD2,CilLg,45.25330601
WLD2,CilSm,23.6975522
WLD2,FlagSm,-0.934612165
WLD2,Other,-2.518817568
YBP1,CenDiaLg,36.32967552
YBP1,CenDiaSm,5.624655816
YBP1,CilLg,33.30372218
YBP1,CilSm,16.86414122
YBP1,FlagSm,8.955043965
YBP1,Other,3.982276707
YBP2,CenDiaLg,61.86273268
YBP2,CenDiaSm,53.31418113
YBP2,CilLg,49.03662574
YBP2,CilSm,43.89865121
YBP2,FlagSm,4.985305364
YBP2,Other,8.247837856
