event,taxaGroup,CRmlcd,IRpgCd,IrMnpgCd,IRµgCd,IrMnµgCd
LSZ2,CenDiaLg,64.03693636,1480372.147,1232716.277,1.480372147,1.232716277
LSZ2,CenDiaLg,45.49286341,1051680.041,1232716.277,1.051680041,1.232716277
LSZ2,CenDiaLg,50.44221933,1166096.643,1232716.277,1.166096643,1.232716277
LSZ2,CenDiaSm,44.68042756,327863.3045,342175.9797,0.327863305,0.34217598
LSZ2,CenDiaSm,54.10055821,396987.8705,342175.9797,0.396987871,0.34217598
LSZ2,CenDiaSm,41.11178842,301676.7641,342175.9797,0.301676764,0.34217598
LSZ2,CilLg,53.05078513,80011.08522,69955.19874,0.080011085,0.069955199
LSZ2,CilLg,55.91394872,84329.30266,69955.19874,0.084329303,0.069955199
LSZ2,CilLg,30.18516795,45525.20834,69955.19874,0.045525208,0.069955199
LSZ2,CilSm,34.37864632,12053.50156,11183.20498,0.012053502,0.011183205
LSZ2,CilSm,40.96634237,14363.21451,11183.20498,0.014363215,0.011183205
LSZ2,CilSm,20.34424657,7132.898877,11183.20498,0.007132899,0.011183205
LSZ2,FlagSm,10.45456482,46043.17634,57933.64169,0.046043176,0.057933642
LSZ2,FlagSm,11.3020971,49775.81169,57933.64169,0.049775812,0.057933642
LSZ2,FlagSm,17.70658067,77981.93704,57933.64169,0.077981937,0.057933642
LSZ2,Other,-2.795979295,-5371.740919,5481.855225,-0.005371741,0.005481855
LSZ2,Other,2.600719071,4996.599609,5481.855225,0.0049966,0.005481855
LSZ2,Other,8.755140871,16820.70699,5481.855225,0.016820707,0.005481855
SJR1,CenDiaLg,53.34986832,1303566.099,1195213.313,1.303566099,1.195213313
SJR1,CenDiaLg,44.53939869,1088288.539,1195213.313,1.088288539,1.195213313
SJR1,CenDiaLg,48.85696912,1193785.302,1195213.313,1.193785302,1.195213313
SJR1,CenDiaSm,42.71734183,144888.5098,90824.76529,0.14488851,0.090824765
SJR1,CenDiaSm,16.27587305,55204.44134,90824.76529,0.055204441,0.090824765
SJR1,CenDiaSm,21.34012318,72381.34476,90824.76529,0.072381345,0.090824765
SJR1,CilLg,44.92083482,109572.8811,108533.2191,0.109572881,0.108533219
SJR1,CilLg,61.022964,148849.9047,108533.2191,0.148849905,0.108533219
SJR1,CilLg,27.54003655,67176.87158,108533.2191,0.067176872,0.108533219
SJR1,CilSm,51.46148985,78698.61674,66134.38893,0.078698617,0.066134389
SJR1,CilSm,39.22250755,59981.88352,66134.38893,0.059981884,0.066134389
SJR1,CilSm,39.05300403,59722.66653,66134.38893,0.059722667,0.066134389
SJR1,FlagSm,43.44766347,20792.61107,5238.250032,0.020792611,0.00523825
SJR1,FlagSm,3.653890119,1748.630653,5238.250032,0.001748631,0.00523825
SJR1,FlagSm,-14.26444758,-6826.491622,5238.250032,-0.006826492,0.00523825
SJR1,Other,-9.006808598,-38557.29756,-26203.45787,-0.038557298,-0.026203458
SJR1,Other,-13.41007588,-57407.2692,-26203.45787,-0.057407269,-0.026203458
SJR1,Other,4.053860257,17354.19316,-26203.45787,0.017354193,-0.026203458
SJR2,CenDiaLg,24.54716059,27322.80214,42996.1804,0.027322802,0.04299618
SJR2,CenDiaLg,33.60191496,37401.41229,42996.1804,0.037401412,0.04299618
SJR2,CenDiaLg,57.7359065,64264.32676,42996.1804,0.064264327,0.04299618
SJR2,CenDiaSm,15.05724976,14528.8722,17583.69124,0.014528872,0.017583691
SJR2,CenDiaSm,12.21371246,11785.11815,17583.69124,0.011785118,0.017583691
SJR2,CenDiaSm,27.39853181,26437.08337,17583.69124,0.026437083,0.017583691
SJR2,CilLg,47.23109827,61177.27083,45722.66304,0.061177271,0.045722663
SJR2,CilLg,29.62179242,38368.37345,45722.66304,0.038368373,0.045722663
SJR2,CilLg,29.04583095,37622.34484,45722.66304,0.037622345,0.045722663
SJR2,CilSm,20.69979771,10401.56945,15273.2119,0.010401569,0.015273212
SJR2,CilSm,33.9630991,17066.32784,15273.2119,0.017066328,0.015273212
SJR2,CilSm,36.52114952,18351.73842,15273.2119,0.018351738,0.015273212
SJR2,FlagSm,4.77497611,13202.09868,41718.01764,0.013202099,0.041718018
SJR2,FlagSm,14.73485581,40739.68455,41718.01764,0.040739685,0.041718018
SJR2,FlagSm,25.75627518,71212.2697,41718.01764,0.07121227,0.041718018
SJR2,Other,7.409120807,22486.02334,36115.02229,0.022486023,0.036115022
SJR2,Other,7.709188784,23396.70299,36115.02229,0.023396703,0.036115022
SJR2,Other,20.58127486,62462.34054,36115.02229,0.062462341,0.036115022
WLD2,CenDiaLg,43.85028753,10102.81327,8484.12086,0.010102813,0.008484121
WLD2,CenDiaLg,35.74582264,8235.598708,8484.12086,0.008235599,0.008484121
WLD2,CenDiaLg,30.8774171,7113.950599,8484.12086,0.007113951,0.008484121
WLD2,CenDiaSm,4.973701296,877.3438857,-1208.395522,0.000877344,-0.001208396
WLD2,CenDiaSm,0.179702179,31.69884928,-1208.395522,3.16988E-05,-0.001208396
WLD2,CenDiaSm,-25.70474647,-4534.2293,-1208.395522,-0.004534229,-0.001208396
WLD2,CilLg,39.02733706,41637.46696,48279.82577,0.041637467,0.048279826
WLD2,CilLg,55.23926407,58933.64,48279.82577,0.05893364,0.048279826
WLD2,CilLg,41.49331689,44268.37036,48279.82577,0.04426837,0.048279826
WLD2,CilSm,21.93090259,19935.43868,21541.34317,0.019935439,0.021541343
WLD2,CilSm,32.25055323,29316.1179,21541.34317,0.029316118,0.021541343
WLD2,CilSm,16.91120079,15372.47292,21541.34317,0.015372473,0.021541343
WLD2,FlagSm,-6.079753783,-43964.30806,-6758.427825,-0.043964308,-0.006758428
WLD2,FlagSm,4.760024578,34420.99704,-6758.427825,0.034420997,-0.006758428
WLD2,FlagSm,-1.48410729,-10731.97245,-6758.427825,-0.010731972,-0.006758428
WLD2,Other,-4.823699888,-31353.39639,-16371.97328,-0.031353396,-0.016371973
WLD2,Other,1.251066566,8131.763348,-16371.97328,0.008131763,-0.016371973
WLD2,Other,-3.983819383,-25894.28678,-16371.97328,-0.025894287,-0.016371973
YBP1,CenDiaLg,11.72939761,4944.028346,15313.22849,0.004944028,0.015313228
YBP1,CenDiaLg,48.53493066,20457.83432,15313.22849,0.020457834,0.015313228
YBP1,CenDiaLg,48.72469831,20537.8228,15313.22849,0.020537823,0.015313228
YBP1,CenDiaSm,4.992338615,485.8190603,547.351695,0.000485819,0.000547352
YBP1,CenDiaSm,9.04193726,879.897339,547.351695,0.000879897,0.000547352
YBP1,CenDiaSm,2.839691573,276.3386857,547.351695,0.000276339,0.000547352
YBP1,CilLg,35.72524885,57389.28891,53499.33158,0.057389289,0.053499332
YBP1,CilLg,24.64655596,39592.39939,53499.33158,0.039592399,0.053499332
YBP1,CilLg,39.53936172,63516.30643,53499.33158,0.063516306,0.053499332
YBP1,CilSm,14.85978624,7840.507452,8898.070455,0.007840507,0.00889807
YBP1,CilSm,18.40725802,9712.269161,8898.070455,0.009712269,0.00889807
YBP1,CilSm,17.32537941,9141.434752,8898.070455,0.009141435,0.00889807
YBP1,FlagSm,11.16854298,53386.22139,42805.57995,0.053386221,0.04280558
YBP1,FlagSm,5.406085788,25841.37368,42805.57995,0.025841374,0.04280558
YBP1,FlagSm,10.29050312,49189.14478,42805.57995,0.049189145,0.04280558
YBP1,Other,10.37096672,21215.02649,8146.213188,0.021215026,0.008146213
YBP1,Other,-0.458456901,-937.8272607,8146.213188,-0.000937827,0.008146213
YBP1,Other,2.034320305,4161.440332,8146.213188,0.00416144,0.008146213
YBP2,CenDiaLg,81.35371763,578768.2101,440105.0635,0.57876821,0.440105064
YBP2,CenDiaLg,49.25545113,350414.0944,440105.0635,0.350414094,0.440105064
YBP2,CenDiaLg,54.97902928,391132.8861,440105.0635,0.391132886,0.440105064
YBP2,CenDiaSm,30.67038992,286928.1634,498765.7513,0.286928163,0.498765751
YBP2,CenDiaSm,93.14551745,871396.5593,498765.7513,0.871396559,0.498765751
YBP2,CenDiaSm,36.126636,337972.5313,498765.7513,0.337972531,0.498765751
YBP2,CilLg,42.31305641,3238493.712,3753092.251,3.238493712,3.753092251
YBP2,CilLg,20.86850614,1597202.652,3753092.251,1.597202652,3.753092251
YBP2,CilLg,83.92831468,6423580.389,3753092.251,6.423580389,3.753092251
YBP2,CilSm,28.83178206,116714.7009,177707.2932,0.116714701,0.177707293
YBP2,CilSm,75.92023805,307334.7274,177707.2932,0.307334727,0.177707293
YBP2,CilSm,26.94393352,109072.4512,177707.2932,0.109072451,0.177707293
YBP2,FlagSm,2.667898584,25127.33857,46953.60479,0.025127339,0.046953605
YBP2,FlagSm,11.41938743,107552.3695,46953.60479,0.107552369,0.046953605
YBP2,FlagSm,0.868630074,8181.106322,46953.60479,0.008181106,0.046953605
YBP2,Other,13.52943618,488568.3117,297841.8437,0.488568312,0.297841844
YBP2,Other,12.54010953,452842.2367,297841.8437,0.452842237,0.297841844
YBP2,Other,-1.326032144,-47885.01731,297841.8437,-0.047885017,0.297841844
